"agreement_label","agreement_confidence","comment_id","topic","error"
"Neither/Unclear",0,"racial_comment_146221","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_167024","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_177418","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_141534","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_113674","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_120750","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_178772","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_134130","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_127681","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_175888","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_138440","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_106421","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_112416","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_119773","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_176485","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_107616","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_139669","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_150101","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_138686","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_121002","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_143288","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_131673","Diversity and Immigration in North America",NA
"Neither/Unclear",0.1,"racial_comment_108766","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_147360","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_115690","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_133582","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_124422","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_107613","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_125897","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_152010","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_175857","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_128686","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_145635","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_136594","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_140193","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_178566","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_158385","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_166949","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_149940","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_102383","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_135292","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_156495","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_139018","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_169512","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_152903","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_130664","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_152493","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_116442","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_177407","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_136465","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_172013","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_125439","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_138358","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_135052","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_142292","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_130989","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_139803","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_150334","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_157477","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_117906","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_164860","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_116713","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_147153","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_131901","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_155021","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_123345","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_128886","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_142854","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_126024","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_164212","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_134988","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_109238","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_110529","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_116922","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_123306","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_155095","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_133508","Political Polarization in Immigration Policies",NA
"Neither/Unclear",0,"racial_comment_157372","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_121967","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_151447","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_179857","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_134495","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_165300","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_152320","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_105568","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_146145","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_150136","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_166753","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_110991","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_139977","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_176156","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_156648","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_144662","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_110093","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_140298","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_138406","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_159967","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_134102","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_135042","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_140639","Unintended Consequences of Woke Discourse",NA
"Neither/Unclear",0,"racial_comment_136782","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_121674","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_145291","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_170833","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_153471","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_153107","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_138537","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_141935","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_170348","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_177228","Unintended Consequences of Woke Discourse",NA
"Neither/Unclear",0,"racial_comment_150417","Unintended Consequences of Woke Discourse",NA
"Neither/Unclear",0,"racial_comment_174854","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_129276","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_176839","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_130537","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_107729","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_144591","Unintended Consequences of Woke Discourse",NA
"Neither/Unclear",0,"racial_comment_147030","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_129149","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_158955","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_164274","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_107838","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_125705","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_159818","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_142221","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_123660","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_169751","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_120849","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_177824","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_147451","Asian Population Dynamics and Implications",NA
"Neither/Unclear",0,"racial_comment_178370","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_163406","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_165641","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_111448","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_129124","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_166005","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_177321","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_154144","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_177817","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_108842","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_147913","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_144532","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_105380","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_123473","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_118922","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_160289","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_105488","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_123892","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_155168","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_107195","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_172640","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_136766","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_174745","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_153443","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_120547","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_157022","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_163855","Political Polarization in Immigration Policies",NA
"Neither/Unclear",0,"racial_comment_114810","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_124855","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_108878","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_180410","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_116419","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_170905","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_111787","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_107589","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_151713","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_107576","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_136016","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_130016","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_109890","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_124222","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_124378","Electoral Impact of Urban Demographic Shifts",NA
"Neither/Unclear",0,"racial_comment_138797","Electoral Impact of Urban Demographic Shifts",NA
"Neither/Unclear",0,"racial_comment_170238","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_161430","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_139852","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_121996","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_171847","Electoral Impact of Urban Demographic Shifts",NA
"Neither/Unclear",0,"racial_comment_155209","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_121799","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_131547","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_105770","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_109835","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_108990","Electoral Impact of Urban Demographic Shifts",NA
"Neither/Unclear",0,"racial_comment_157525","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_168485","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_122607","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_172538","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_155272","Population Growth and Economic Implications",NA
"Neither/Unclear",0,"racial_comment_158926","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_167719","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_137693","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_118516","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_123729","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_151899","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_112090","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_104562","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_122227","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_157701","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_105530","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_108735","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_136436","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_153914","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_120387","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_154327","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_130949","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_168453","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_171548","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_140309","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_132547","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_140605","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_147687","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_139815","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_122239","Asian Population Dynamics and Implications",NA
"Neither/Unclear",0,"racial_comment_176193","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_154386","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_118510","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_168185","Diversity and Immigration in North America",NA
"Neither/Unclear",0.5,"racial_comment_138154","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_162988","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_131541","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_134899","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_156014","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_167877","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_133651","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_159810","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_119544","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_112627","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_135450","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_132028","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_166930","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_176979","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_126703","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_166466","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_150542","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_111027","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_175945","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_173053","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_129071","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_139168","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_136647","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_159357","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_127753","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_175861","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_150487","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_127185","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_159385","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_163801","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_160121","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_119226","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_107894","Asian Population Dynamics and Implications",NA
"Neither/Unclear",0,"racial_comment_159302","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_164795","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_165112","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_153283","Electoral Impact of Urban Demographic Shifts",NA
"Neither/Unclear",0,"racial_comment_176149","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_168839","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_170406","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_163349","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_165512","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_149107","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_148490","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_170920","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_109031","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_153338","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_143341","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_167338","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_175931","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_153747","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_138639","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_112046","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_116975","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_170306","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_129965","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_175392","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_115589","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_145530","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_133644","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_158369","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_166995","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_128917","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_172712","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_122358","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_120049","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_110029","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_117429","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_169673","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_119932","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_160752","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_161127","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_118091","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_132992","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_121624","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_135325","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_118904","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_104023","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_168042","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_159581","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_112474","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_156984","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_158274","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_178839","Diversity and Immigration in North America",NA
"Neither/Unclear",0.5,"racial_comment_117384","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_146823","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_143106","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_134680","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_143758","Diversity and Immigration in North America",NA
"Neither/Unclear",0.5,"racial_comment_121059","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_135506","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_116453","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_109711","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_104597","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_167340","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_156625","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_157016","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_102632","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_103033","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_144523","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_121092","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_160268","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_115425","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_143800","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_175886","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_173998","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_167015","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_178543","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_138546","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_122720","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_179316","Political Polarization in Immigration Policies",NA
"Neither/Unclear",0,"racial_comment_107171","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_140344","Electoral Impact of Urban Demographic Shifts",NA
"Neither/Unclear",0,"racial_comment_111896","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_166078","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_124753","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_146491","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_123002","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_158008","Electoral Impact of Urban Demographic Shifts",NA
"Neither/Unclear",0,"racial_comment_143042","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_113567","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_127651","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_113231","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_164907","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_169971","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_106518","Electoral Impact of Urban Demographic Shifts",NA
"Neither/Unclear",0,"racial_comment_168257","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_143710","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_137073","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_171953","Political Polarization in Immigration Policies",NA
"Neither/Unclear",0,"racial_comment_119419","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_151319","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_163479","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_113640","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_115745","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_122097","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_110061","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_108150","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_174574","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_126119","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_164115","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_112255","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_180302","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_110169","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_104481","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_174003","Diversity and Immigration in North America",NA
"Neither/Unclear",0,"racial_comment_168303","Diversity and Immigration in North America",NA
